dcterms:modified	institutionCode	collectionCode	basisOfRecord	catalogNumber	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	identifiedBy	dateIdentified	typeStatus	recordNumber	fieldNumber	recordedBy	eventDate	continent	country	stateProvince	county	locality	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	verbatimElevation	verbatimDepth	sex	lifeStage	preparations	individualCount	otherCatalogNumbers	occurrenceRemarks	samplingProtocol	identificationQualifier	habitat	associatedTaxa	georeferenceRemarks	verbatimCoordinates	verbatimSRS	associatedMedia	CreativeCommonsLicense	ArtObsID	occurrenceID	UTMsone	UTMX	UTMY	datasetName	
2019-01-15	O	F	Preserved specimen	231838	Uromyces airae-flexuosae	Ferd. & Winge									Ivar Jørstad	1959-07-21				Ivar Jørstad	1959-07-21		Norway	Oppland	Gjøvik	Snertingdal: ved elven nedenfor Tomter	10.3229	60.897	500													GS	33V 246363,6760363	WGS84					33	246363	6760363		
2013-09-30	O	F	Preserved specimen	20183	Basidioradulum radula	(Fr. : Fr.) Nobles									Jens Stordal	1961-04-09				Jens Stordal	1961-04-09		Norway	Østfold	Hobøl	Svikebøl nord for Tomter st.	11.0337	59.6873	707											På Corylus		OR	32V PM 14,18	ED50					33	276764	6623420		
2013-09-30	O	F	Preserved specimen	82005	Agaricus crocodilinus	Murrill									Anna-Elise Torkelsen					Petter Tomter	1992-10-04		Norway	Østfold	Moss	Jeløy, Alby.	10.6028	59.4212	711											I A. ph.-skogen.		GS	32V NL 904-914,876-884	WGS84					33	250579	6595201		
2013-09-30	O	F	Preserved specimen	142449	Polyporus ciliatus	Fr. : Fr.									Maria Nunez	2000-06				Ivar Jørstad	1942-06-27		Norway	Oppland	Gjøvik	Tomter	10.45449	60.87203	20675										1										33	253300	6757089		
2013-09-30	O	F	Preserved specimen	152504	Agrocybe dura	(Bolton) Singer									Anna-Elise Torkelsen					Barbula	1977-06-30		Norway	Østfold	Hobøl	Tomter	11.0029	59.66	1710													GS	32V PM 118-138,139-165	WGS84					33	274857	6620329		
2013-09-30	O	F	Preserved specimen	160482	Myxarium nucleatum	Wallr.									Anna-Elise Torkelsen	1972-06-18		236/72		Anna-Elise Torkelsen	1972-06-18		Norway	Østfold	Hobøl	Tomter.	11.0029	59.66	1710													GS	32V PM 118-138,139-165	WGS84					33	274857	6620329		
2019-01-15	O	F	Preserved specimen	190383	Melampsora laricis-pentandrae	Kleb.									Ivar Jørstad	1958-09-11				Ivar Jørstad	1958-09-11		Norway	Oppland	Gjøvik	Snertingdal: Tomtersetren i Sør-Kråkhuguet	10.2864	60.9793	500	680 m												GS	33V 245047,6769661	WGS84					33	245047	6769661		
2019-01-15	O	F	Preserved specimen	238221	Puccinia septentrionalis	Juel									Ivar Jørstad	1958-09-11				Ivar Jørstad	1958-09-11		Norway	Oppland	Gjøvik	Snertingdal: Tomterseteren i Sør-Kråkåhuguet	10.2864	60.9793	500	700 m												GS	33V 245047,6769661	WGS84					33	245047	6769661		
2019-01-15	O	F	Preserved specimen	237079	Puccinia vaginatae	Juel									Ivar Jørstad	1959-07-19				Ivar Jørstad	1959-07-19		Norway	Oppland	Gjøvik	Snertingdal: Tomterseteren	10.2864	60.9793	500													GS	33V 245047,6769661	WGS84					33	245047	6769661		
2019-01-15	O	F	Preserved specimen	237089	Puccinia vaginatae	Juel									Ivar Jørstad	1958-09-11				Ivar Jørstad	1958-09-11		Norway	Oppland	Gjøvik	Snertingdal: Tomterseteren i Sør-Kråkhuguet	10.2864	60.9793	500	Ca. 700 m												GS	33V 245047,6769661	WGS84					33	245047	6769661		
