PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;PopulærnavnBokmål;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnNynorsk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnSamisk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar
"243";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;;;;;;;;;;;;;;;;"127715";"243";30.04.2009;;"Gyldig";"Ingen_bistatus";28.02.2018;30.04.2009;;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";243;243;"Nei";"amfibier";;"Bokmål";"Ja";18.09.2009;18.09.2009;;;;;;;;;;;;;;;;
"244";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;;;;;;;;;;;;"243";"244";30.04.2009;;"Gyldig";"Ingen_bistatus";29.11.2018;30.04.2009;;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";244;244;"Nei";"springpadder";;"Bokmål";"Ja";29.11.2018;29.11.2018;"haleløse_padder";;;;;;;;;;;;;;;
"245";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;;;;;;;;;;;;"243";"245";10.01.2011;;"Gyldig";"Ingen_bistatus";29.11.2018;30.04.2009;;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";84251;245;"Nei";"salamandere";;"Bokmål";"Ja";29.11.2018;29.11.2018;"halepadder haleamfibier";;;;;;;;;;;;;;;
"246";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Gymnophiona";;;;;;;;;;;;;;;"243";"246";30.04.2009;;"Gyldig";"Ingen_bistatus";29.11.2018;30.04.2009;;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";246;246;"Nei";"ormepadder";;"Bokmål";"Ja";29.11.2018;29.11.2018;;"ormepadder";;"Nynorsk";"Ja";29.11.2018;29.11.2018;;;;;;;;;
"127385";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Urodela";;;;;;;;;;;;;;;"243";"118605";10.01.2011;;"Synonym";"Ingen_bistatus";10.01.2011;10.01.2011;;;;;84251;245;"Nei";"salamandere";;"Bokmål";"Ja";29.11.2018;29.11.2018;"halepadder haleamfibier";;;;;;;;;;;;;;;
"1581";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;;;;;;;;"245";"1580";30.04.2009;;"Gyldig";"Ingen_bistatus";30.04.2009;30.04.2009;;;;;1580;1581;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1582";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Triturus";;;;;;;"1581";"1581";30.04.2009;;"Gyldig";"Ingen_bistatus";30.04.2009;30.04.2009;;;;;1581;1582;"Nei";;;;;;;;;;;;;;;;;;;;;;
"135428";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Lissotriton";;;;;;;"1581";"126879";;"Bell, 1839";"Gyldig";"Ingen_bistatus";27.05.2013;27.05.2013;;;;;92944;135428;"Nei";;;;;;;;;;;;;;;;;;;;;;
"169524";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Cynops";;;;;;;"1581";"161260";;;"Gyldig";"Ingen_bistatus";16.01.2017;16.01.2017;;;;;140132;169524;"Nei";;;;;;;;;;;;;;;;;;;;;;
"169526";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Salamandra";;;;;;;"1581";"161262";;;"Gyldig";"Ingen_bistatus";16.01.2017;16.01.2017;;;;;140134;169526;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216709";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Ichthyosaura";;;;;;;"1581";"209865";;"Latreille, 1801";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205248;216709;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216710";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Ichthyosaura";;;"alpestris";;;;"216709";"209866";;"(Laurenti, 1768)";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205249;216710;"Nei";;;;;;;;;;;;;;;;;;;;;;
"169527";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Salamandra";;;"salamandra";;;;"169526";"161263";;"(Linnaeus, 1758)";"Gyldig";"Ingen_bistatus";16.01.2017;16.01.2017;;;;;140135;169527;"Nei";"ildsalamander";;"Bokmål";"Ja";16.01.2017;16.01.2017;"europeisk_ildsalamander";;;;;;;;;;;;;;;
"169525";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Cynops";;;"pyrrhogaster";;;;"169524";"161261";;"(Boie, 1826)";"Gyldig";"Ingen_bistatus";16.01.2017;16.01.2017;;;;;140133;169525;"Nei";"japansk rødbuksalamander";;"Bokmål";"Ja";16.01.2017;16.01.2017;"ildbuksalamander";;;;;;;;;;;;;;;
"135429";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Lissotriton";;;"vulgaris";;;;"135428";"126880";27.05.2013;"(Linnaeus, 1758)";"Gyldig";"Ingen_bistatus";28.02.2018;27.05.2013;;;;;92946;135429;"Ja";"småsalamander";;"Bokmål";"Ja";27.05.2013;27.05.2013;;"småsalamander";;"Nynorsk";"Ja";27.05.2013;27.05.2013;;;;;;;;;
"1583";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Triturus";"Lissotriton";;;;;;"1582";"1582";30.04.2009;;"Gyldig";"Ingen_bistatus";30.04.2009;30.04.2009;;;;;1582;1583;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1585";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Triturus";"Triturus";;;;;;"1582";"1584";30.04.2009;;"Gyldig";"Ingen_bistatus";30.04.2009;30.04.2009;;;;;1584;1585;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216727";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Triturus";;;"carnifex";;;;"1582";"209883";;"(Laurenti, 1768)";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205267;216727;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1586";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Triturus";"Triturus";;"cristatus";;;;"1585";"1585";30.04.2009;"(Laurenti, 1768)";"Gyldig";"Ingen_bistatus";28.02.2018;30.04.2009;;;;;1585;1586;"Ja";"storsalamander";;"Bokmål";"Ja";13.09.2009;13.09.2009;"stor_salamander";"storsalamander";;"Nynorsk";"Ja";13.09.2009;13.09.2009;;;;;;;;;
"1584";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Caudata";;;;"Salamandridae";;;;"Triturus";"Lissotriton";;"vulgaris";;;;"1583";"1583";27.05.2013;"(Linnaeus, 1758)";"Synonym";"Ingen_bistatus";27.05.2013;30.04.2009;;;;;92946;135429;"Ja";"småsalamander";;"Bokmål";"Ja";27.05.2013;27.05.2013;;"småsalamander";;"Nynorsk";"Ja";27.05.2013;27.05.2013;;;;;;;;;
"1569";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Bufonidae";;;;;;;;;;;"244";"1568";30.04.2009;;"Gyldig";"Ingen_bistatus";29.11.2018;30.04.2009;;;;;1568;1569;"Nei";"ekte padder";;"Bokmål";"Ja";29.11.2018;29.11.2018;;"ekte padder";;"Nynorsk";"Ja";29.11.2018;29.11.2018;;;;;;;;;
