BOLD Process-ID	MUSIT no with prefix	Vitenskapelig navn i BOLD	sekvenslengde	Validert vitenskapelig navn etter strekkoding	valideringsmetode	Ekspert
NOBAS008-14	O-F-75128	Mycena pura	537	Validert	unite	
NOBAS007-14	O-F-75127	Russula vesca	641[0n]	Validert	unite	
NOBAS006-14	O-F-75126	Lactarius scrobiculatus	706[0n]	Validert	unite	
NOBAS005-14	O-F-75125	Lactarius deterrimus	699[0n]	Validert	unite	
NOBAS004-14	O-F-75124	Leccinum versipelle	525[0n]	Validert	unite	
NOBAS003-14	O-F-75123	Mycena galopus	649[0n]	Validert	unite, dendrogram	
NOBAS002-14	O-F-75122	Lactarius spinosulus	675[0n]	Validert	unite	
NOBAS001-14	O-F-75121	Amanita flavescens	609[1n]	Contamination		
NOBAS016-14	O-F-75136	Lactarius camphoratus	681[0n]	Validert	unite	
NOBAS015-14	O-F-75135	Gloeophyllum sepiarium	154[1n]	Validert	unite	
NOBAS014-14	O-F-75134	Hydnellum peckii	674[1n]	Validert	dendrogram	
NOBAS013-14	O-F-75133	Cortinarius turmalis	643[0n]	Validert	sjekk	
NOBAS012-14	O-F-75132	Amanita muscaria	634[0n]	Validert	unite, dendrogram	
NOBAS011-14	O-F-75131	Lactarius picinus	655[4n]	Validert	unite, dendrogram	
NOBAS010-14	O-F-75130	Heterobasidion parviporum	596[0n]	Validert	unite	
NOBAS009-14	O-F-75129	Gymnopus androsaceus	716[0n]	Validert	unite	
NOBAS024-14	O-F-75144	Cortinarius sanguineus	649[0n]	Validert	type	
NOBAS023-14	O-F-75143	Cortinarius pseudonaevosus	641[0n]	Validert	ekspert	Balint Dima
NOBAS022-14	O-F-75142	Cortinarius pseudonaevosus	641[0n]	Validert	ekspert	Balint Dima
NOBAS021-14	O-F-75141	Tremella foliacea	468[0n]	Validert	unite	
NOBAS020-14	O-F-75140	Entoloma nitidum	642[0n]	Validert	ekspert	Brandrud, Dima
NOBAS019-14	O-F-75139	Cortinarius pseudofervidus	648[0n]	Validert	ekspert	Balint Dima
NOBAS018-14	O-F-75138	Tricholoma inamoenum	646[0n]	Validert	unite	
NOBAS017-14	O-F-75137	Chalciporus piperatus	572[0n]	Validert	unite	
NOBAS025-14	O-F-75145	Boletus luridiformis	667	Validert	unite	
NOBAS026-14	O-F-75146	Ramaria gracilis	613[1n]	Validert	ekspert	conf. Mika Toivonen
NOBAS027-14	O-F-75147	Entoloma sericeum	646[0n]	Validert	ekspert	Brandrud, Dima
NOBAS028-14	O-F-75148	Entoloma mutabilipes	670[0n]	Validert	ekspert	Brandrud, Dima
NOBAS029-14	O-F-75149	Entoloma incanum	671[0n]	Validert	ekspert	Brandrud, Dima
NOBAS030-14	O-F-75150	Entoloma poliopus	664[0n]	Validert	ekspert	Brandrud, Dima
NOBAS031-14	O-F-75151	Entoloma violaceoserrulatum	708[0n]	Validert	ekspert	Brandrud, Dima
NOBAS032-14	O-F-75152	Entoloma ochromicaceum	671[0n]	Validert	ekspert	Brandrud, Dima
NOBAS033-14	O-F-75153	Entoloma griseocyaneum	676[0n]	Validert	ekspert	Brandrud, Dima
NOBAS034-14	O-F-75154	Entoloma sarcitulum	622[0n]	Validert	ekspert	Brandrud, Dima
NOBAS035-14	O-F-75155	Lamelloclavaria petersenii	617[0n]	Validert	antar rett	
NOBAS036-14	O-F-75156	Cortinarius patibilis	684[0n]	Validert	ekspert	Balint Dima
NOBAS037-14	O-F-75157	Cortinarius sphagnophilus	641[0n]	Validert	unite, ekspert	Balint Dima
NOBAS038-14	O-F-75158	Albatrellus confluens	636[0n]	Validert	unite	
NOBAS039-14	O-F-75159	Cortinarius claricolor	648[0n]	Validert	sjekk	
NOBAS040-14	O-F-75160	Cortinarius variecolor	648[0n]	Validert	type, ekspert	Balint Dima
NOBAS041-14	O-F-75161	Leccinum niveum	1367[1n]	Validert	unite	
NOBAS042-14	O-F-75162	Gomphidius glutinosus	686[0n]	Validert	unite	
NOBAS043-14	O-F-75163	Lactarius zonarioides	705[0n]	Validert	unite	
NOBAS044-14	O-F-75164	Russula crassipes	649[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS045-14	O-F-75165	Lactarius fennoscandicus	698[2n]	Validert	unite, dendrogram	
NOBAS046-14	O-F-75166	Lactarius fennoscandicus	677[0n]	Validert	unite	
NOBAS047-14	O-F-75167	Russula vinosa	640[1n]	Validert	ekspert	Annemieke Verbeken
NOBAS048-14	O-F-75168	Catathelasma imperiale	554[0n]	Validert	unite	
NOBAS049-14	O-F-75169	Rhodocybe nitellina	646[1n]	Validert	unite	
NOBAS050-14	O-F-75170	Inocybe rimosa	0[n]	no sequence		
NOBAS051-14	O-F-75171	Russula mustelina	653[0n]	Validert	unite	
NOBAS052-14	O-F-75172	Inocybe umbratica	665[0n]	Validert	unite	
NOBAS053-14	O-F-75173	Gymnopilus penetrans	637[3n]	Validert	unite	
NOBAS054-14	O-F-75174	Sarcodon martioflavus	713[0n]	Validert	dendrogram	
NOBAS055-14	O-F-75175	Hydnellum suaveolens	716[0n]	Validert	unite	
NOBAS056-14	O-F-75176	Amanita vaginata	0[n]	no sequence		
NOBAS057-14	O-F-75177	Hygrophorus pudorinus	556[0n]	Validert	ekspert	Ellen Larsson
NOBAS058-14	O-F-75178	Clavaria zollingeri	610[0n]	Validert	unite	
NOBAS059-14	O-F-75179	Chondrostereum purpureum	671[0n]	Validert	unite	
NOBAS060-14	O-F-75180	Hydnum jussii	578[0n]	Validert	genbank	Gunnhild
NOBAS061-14	O-F-75181	Russula atroglauca	609[0n]	Validert	unite	
NOBAS062-14	O-F-75182	Phellodon melaleucus	631[0n]	Validert	unite, dendrogram	
NOBAS063-14	O-F-75183	Russula sp.	501[4n]	Validert	ekspert	Annemieke Verbeken
NOBAS064-14	O-F-75184	Cortinarius limonius	658[0n]	Validert	sjekk	
NOBAS065-14	O-F-75185	Sarcodon imbricatus	712[0n]	Validert	unite	
NOBAS066-14	O-F-75186	Cortinarius betulinus	608[1n]			
NOBAS067-14	O-F-75187	Lyophyllum deliberatum	639[0n]	Validert	unite, dendrogram	
NOBAS068-14	O-F-75188	Cortinarius brunneus	568[0n]	Validert	ekspert	Balint Dima
NOBAS069-14	O-F-75189	Coprinellus micaceus	585[1n]	Validert	unite	
NOBAS070-14	O-F-75190	Lactarius hysginus	706[0n]	Validert	unite	
NOBAS071-14	O-F-75191	Cortinarius violaceonitens	640[1n]	Validert	ekspert	Balint Dima
NOBAS072-14	O-F-75192	Cantharellus cibarius	809[0n]	Validert	unite	
NOBAS073-14	O-F-75193	Cortinarius illuminus	653[0n]	Validert	unite	
NOBAS074-14	O-F-75194	Gloeophyllum odoratum	524[0n]	Validert	unite	
NOBAS075-14	O-F-75195	Cortinarius delibutus	656[0n]	Validert	ekspert	Balint Dima
NOBAS076-14	O-F-75196	Boletus edulis	719[0n]	Validert	unite	
NOBAS077-14	O-F-75197	Inocybe melanopus	719[0n]	Contamination		
NOBAS078-14	O-F-75198	Clitopilus prunulus	635[0n]	Validert	unite	
NOBAS079-14	O-F-75199	Atheniella flavoalba	677[0n]	Validert	unite	
NOBAS080-14	O-F-75200	Alloclavaria purpurea	606[2n]	Validert	unite	
NOBAS081-14	O-F-75201	Cortinarius armeniacus	515[0n]	Validert	ekspert	Balint Dima
NOBAS082-14	O-F-75202	Inocybe rimosa	0[n]	no sequence		
NOBAS083-14	O-F-75203	Cortinarius rubellus	654[1n]	Validert	unite	
NOBAS084-14	O-F-75204	Pholiota flammans	636[0n]	Validert	unite	
NOBAS085-14	O-F-75205	Cortinarius saniosus	168[0n]	Validert	unite	
NOBAS086-14	O-F-75206	Cortinarius malachius	559[1n]	Validert	dendrogram, ekspert	Balint Dima
NOBAS087-14	O-F-75207	Craterellus tubaeformis	600[1n]	Validert	unite	
NOBAS088-14	O-F-75208	Cortinarius sp. BD20	546[0n]	Validert	ekspert	Balint Dima
NOBAS089-14	O-F-75209	Russula griseascens	566[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS090-14	O-F-75210	Laccaria laccata	0[n]	no sequence		
NOBAS091-14	O-F-75211	Bankera violascens	566[2n]	Validert	unite	
NOBAS092-14	O-F-75212	Amanita porphyria	665[0n]	Validert	unite	
NOBAS093-14	O-F-75213	Mycena rubromarginata	0[n]	no sequence		
NOBAS094-14	O-F-75214	Hygrocybe cantharellus	597[1n]	Validert	unite	
NOBAS095-14	O-F-75215	Galerina atkinsoniana	666[0n]	Validert	unite	
NOBAS096-14	O-F-75418	Postia caesia	0[n]	no sequence		
NOBAS097-14	O-F-75419	Lactarius deterrimus	473[1n]	Validert	unite	
NOBAS098-14	O-F-75420	Pleurocybella porrigens	687[1n]	Validert	unite	
NOBAS099-14	O-F-75421	Rhodocollybia butyracea f. butyracea	726[0n]	Validert	unite	
NOBAS100-14	O-F-75422	Peziza badia	583[0n]	Validert	unite	
NOBAS101-14	O-F-75423	Cortinarius semisanguineus	648[0n]	Validert	unite	
NOBAS102-14	O-F-75424	Geastrum pectinatum	545[0n]	Validert	unite	
NOBAS103-14	O-F-75425	Cortinarius sanguineus	649[0n]	Validert	type	
NOBAS104-14	O-F-75426	Cortinarius uliginosus	648[0n]	Validert	unite	
NOBAS105-14	O-F-75427	Cortinarius arcifolius	449[1n]	Validert	unite	
NOBAS106-14	O-F-75428	Laetiporus sulphureus	377[0n]	Validert	unite	
NOBAS107-14	O-F-75429	Entoloma sinuatum	825[0n]	Validert	ekspert	Brandrud, Dima
NOBAS108-14	O-F-75430	Cortinarius cinnabarinus	569[0n]	Validert	ekspert	Balint Dima
NOBAS109-14	O-F-75431	Cortinarius cotoneus	656[0n]	Validert	unite, dendrogram	
NOBAS110-14	O-F-75432	Ramaria stricta	655[0n]	Validert	ekspert	Mika Toivonen
NOBAS111-14	O-F-75433	Craterellus sinuosus	789[0n]	Validert	unite	
NOBAS112-14	O-F-75434	Tricholoma aurantium	441[0n]	Validert	unite	
NOBAS113-14	O-F-75435	Russula amoenolens	649[0n]	Validert	unite	
NOBAS114-14	O-F-75436	Hydnellum auratile	599[0n]	Validert	unite	
NOBAS115-14	O-F-75437	Gymnopus fusipes	701[0n]	Validert	unite	
NOBAS116-14	O-F-75438	Lactarius citriolens	706[0n]	Validert	unite	
NOBAS117-14	O-F-75439	Lactarius blennius	690[0n]	Validert	unite	
NOBAS118-14	O-F-75440	Entoloma luteobasis	621[1n]	Validert	ekspert	Brandrud, Dima
NOBAS119-14	O-F-75441	Russula olivacea	0[n]	no sequence		
NOBAS120-14	O-F-75442	Pholiota flammans	691[0n]	Validert	unite	
NOBAS121-14	O-F-75443	Hygrophorus lindtneri	567[0n]	Validert	unite,  dendrogram	
NOBAS122-14	O-F-75444	Russula lepida	650[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS123-14	O-F-75445	Tricholoma ustale	611[0n]	Validert	unite	
NOBAS124-14	O-F-75446	Russula adulterina	664[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS125-14	O-F-75447	Mycena rosea	652[2n]	Validert	unite	
NOBAS126-14	O-F-75448	Marasmiellus sp.	459[0n]			
NOBAS127-14	O-F-75449	Inocybe sp.	659[0n]	Validert	ekspert	Ellen Larsson
NOBAS128-14	O-F-75450	Cortinarius balteatocumatilis	644[0n]	Validert	ekspert	Balint Dima
NOBAS129-14	O-F-75451	Cortinarius phoeniceus	649[0n]	Validert	ekspert	Balint Dima
NOBAS130-14	O-F-75452	Lactarius blennius	483[0n]	Validert	unite	
NOBAS131-14	O-F-75453	Boletellus projectellus	747[0n]	Validert	unite, ref. seq.	
NOBAS132-14	O-F-75454	Mycena zephirus	645[0n]	Validert	unite	
NOBAS133-14	O-F-75455	Russula fageticola	600[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS134-14	O-F-75456	Cortinarius caperatus	586[0n]	Validert	unite, dendrogram	
NOBAS135-14	O-F-75457	Tricholoma atrosquamosum	429[0n]	Validert	unite	
NOBAS136-14	O-F-75458	Amanita citrina	578[0n]	Validert	unite	
NOBAS137-14	O-F-75459	Laetiporus sulphureus	368[1n]	Validert	unite	
NOBAS138-14	O-F-75460	Amanita argentea	541[0n]	Validert	unite	
NOBAS139-14	O-F-75461	Russula roseoaurantia	648[0n]	Validert	unite	
NOBAS140-14	O-F-75462	Hebeloma sinapizans	568[0n]	Validert	ekspert	Henry Beker
NOBAS141-14	O-F-75463	Cortinarius bulbopodius	635[0n]	Validert	ekspert	Balint Dima
NOBAS142-14	O-F-75464	Lactarius circellatus	434[0n]	Validert	unite	
NOBAS143-14	O-F-75465	Conocybe albipes	660[0n]			
NOBAS144-14	O-F-75466	Amanita rubescens	659[0n]	Validert	unite	
NOBAS145-14	O-F-75467	Russula paludosa	657[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS146-14	O-F-75468	Inocybe godeyi	687[0n]	Validert	unite	
NOBAS147-14	O-F-75469	Tricholoma cingulatum	417[0n]	Validert	unite	
NOBAS148-14	O-F-75470	Clitocybe odora	645[0n]	Validert	unite	
NOBAS149-14	O-F-75471	Inocybe bongardii	595[0n]	Validert	unite	
NOBAS150-14	O-F-75472	Coprinopsis picacea	666[0n]	Validert	unite	
NOBAS151-14	O-F-75473	Hygrocybe fornicata var. fornicata	697[1n]	Validert	unite	
NOBAS152-14	O-F-75474	Cortinarius urbicus	554[0n]	Validert	dendrogram, indirekte ekspert	
NOBAS153-14	O-F-75475	Paxillus involutus	575[0n]	Validert	unite	
