id1	id	type	modified	rightsHolder	accessRights	collectionID	datasetID	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	informationWithheld	materialSampleID	occurrenceID	catalogNumber	recordNumber	recordedBy	sex	lifeStage	preparations	disposition	associatedMedia	organismID	eventDate	continent	waterBody	country	countryCode	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	identifiedBy	dateIdentified	identificationQualifier	typeStatus	scientificNameID	scientificName	kingdom	class	order	family	genus	specificEpithet	infraspecificEpithet	verbatimTaxonRank	nomenclaturalCode	items
urn:uuid:55ee0e9e-cd6a-51e4-9525-065ec263b55a	urn:uuid:56fe121e-3364-495d-ba77-fa3e1f50fbfd	PhysicalObject	2019-01-31T18:26:38	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:56fe121e-3364-495d-ba77-fa3e1f50fbfd	urn:uuid:56fe121e-3364-495d-ba77-fa3e1f50fbfd	NHMO-BI-10/1-B	76	Øigarden, Trond	Male		Blood	Existing		urn:uuid:55ee0e9e-cd6a-51e4-9525-065ec263b55a	2002-05-04	Europe		Norway	NO	Hedmark	Åmot	Fjerdingsbekken			61.233333	11.716667	WGS84			Johannessen, Lars Erik	2018-12-08				Cinclus cinclus cinclus (Linnaeus, 1758)	Animalia	Aves	Passeriformes	Cinclidae	Cinclus	cinclus	cinclus		ICZN	Blood, gDNA
urn:uuid:e55fd311-fb28-5317-a79e-ac56ff7020cf	urn:uuid:f86ed53a-baf9-4c72-bdb1-58ce92f03067	PhysicalObject	2019-01-31T18:26:39	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:f86ed53a-baf9-4c72-bdb1-58ce92f03067	urn:uuid:f86ed53a-baf9-4c72-bdb1-58ce92f03067	NHMO-BI-100/1-B	158	Øigarden, Trond	Male	Pullus	Blood	Existing		urn:uuid:e55fd311-fb28-5317-a79e-ac56ff7020cf	2002-05-24	Europe		Norway	NO	Hedmark	Elverum	Bergeberget, Julussa			60.983333	11.766667	WGS84			Johannessen, Lars Erik	2018-12-08				Cinclus cinclus cinclus (Linnaeus, 1758)	Animalia	Aves	Passeriformes	Cinclidae	Cinclus	cinclus	cinclus		ICZN	Blood, gDNA
urn:uuid:7cabec6e-b679-5028-9ad5-2a01b40d0e7e	urn:uuid:019f546b-b259-444c-8ef2-aee1ed2c163a	PhysicalObject	2019-01-31T18:26:47	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:019f546b-b259-444c-8ef2-aee1ed2c163a	urn:uuid:019f546b-b259-444c-8ef2-aee1ed2c163a	NHMO-BI-1000/1-B	283	Slagsvold, Tore	Female	Unknown	Blood	Existing		urn:uuid:7cabec6e-b679-5028-9ad5-2a01b40d0e7e	1998	Europe		Norway	NO	Oslo	Oslo	Sinober			59.983333	10.633333	WGS84			Johannessen, Lars Erik	2018-12-08				Ficedula hypoleuca hypoleuca (Pallas, 1764)	Animalia	Aves	Passeriformes	Muscicapidae	Ficedula	hypoleuca	hypoleuca		ICZN	Blood
urn:uuid:336d8ea0-04dc-5ccd-b865-15ad078e9fd6	urn:uuid:c6c983c1-1da4-4c1d-a59f-04da10b085f3	PhysicalObject	2020-05-08T17:02:38	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:c6c983c1-1da4-4c1d-a59f-04da10b085f3	urn:uuid:c6c983c1-1da4-4c1d-a59f-04da10b085f3	NHMO-BI-10000/1-B	AJ182	Johnsen, Arild	Male		Blood	Existing		urn:uuid:336d8ea0-04dc-5ccd-b865-15ad078e9fd6	2006-05-25	Europe		Norway	NO	Oppland	Øystre Slidre	Øvre Heimdalen			61.416667	8.866667	WGS84	4000		Johnsen, Arild	2006-05-25				Luscinia svecica svecica (Linnaeus, 1758)	Animalia	Aves	Passeriformes	Muscicapidae	Luscinia	svecica	svecica		ICZN	Blood,  gDNA,Fixed sperm cells
urn:uuid:25fab62a-5b4b-53fa-bdba-13141c01f240	urn:uuid:f6588f4b-fe85-492e-b691-b3be2207636d	PhysicalObject	2019-01-31T18:47:26	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:f6588f4b-fe85-492e-b691-b3be2207636d	urn:uuid:f6588f4b-fe85-492e-b691-b3be2207636d	NHMO-BI-100000/1-B		Helberg, Morten	Unknown		Blood	Existing		urn:uuid:25fab62a-5b4b-53fa-bdba-13141c01f240	2012-04-09	Europe		Norway	NO	Hordaland	Bergen	Byparken			60.390833	5.3275	WGS84			Johannessen, Lars Erik	2019-01-24				Larus canus canus Linnaeus, 1758	Animalia	Aves	Charadriiformes	Laridae	Larus	canus	canus		ICZN	Blood
urn:uuid:15ecefc5-7a45-53d7-8a7e-200561372cbb	urn:uuid:7babea87-2ddd-4fbc-845d-6d93c178a660	PhysicalObject	2020-02-17T07:32:07	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:7babea87-2ddd-4fbc-845d-6d93c178a660	urn:uuid:7babea87-2ddd-4fbc-845d-6d93c178a660	NHMO-BI-100001/1-B		Helberg, Morten	Unknown		Blood	Existing		urn:uuid:15ecefc5-7a45-53d7-8a7e-200561372cbb	2012-05-11	Europe		Norway	NO	Hordaland	Bergen	Byparken			60.390833	5.3275	WGS84			Johannessen, Lars Erik	2019-01-24				Larus canus canus Linnaeus, 1758	Animalia	Aves	Charadriiformes	Laridae	Larus	canus	canus		ICZN	Blood
urn:uuid:405045cf-287b-5668-9bd9-f127db03d394	urn:uuid:f740fd54-0f83-4ae6-8b20-9755e6e02ba1	PhysicalObject	2019-01-31T18:47:26	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:f740fd54-0f83-4ae6-8b20-9755e6e02ba1	urn:uuid:f740fd54-0f83-4ae6-8b20-9755e6e02ba1	NHMO-BI-100002/1-B		Helberg, Morten	Unknown		Blood	Existing		urn:uuid:405045cf-287b-5668-9bd9-f127db03d394	2012-07-14	Europe		Norway	NO	Hordaland	Lindås	Loni, Knarvik			60.553611	5.284444	WGS84			Johannessen, Lars Erik	2019-01-24				Larus canus canus Linnaeus, 1758	Animalia	Aves	Charadriiformes	Laridae	Larus	canus	canus		ICZN	Blood
urn:uuid:97dca922-9b88-5ee9-8d59-365a8e973ba9	urn:uuid:b5988294-43bb-49f7-9fe3-eeee23d21de1	PhysicalObject	2019-01-31T18:47:26	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:b5988294-43bb-49f7-9fe3-eeee23d21de1	urn:uuid:b5988294-43bb-49f7-9fe3-eeee23d21de1	NHMO-BI-100003/1-B		Helberg, Morten	Unknown		Blood	Existing		urn:uuid:97dca922-9b88-5ee9-8d59-365a8e973ba9	2012-07-14	Europe		Norway	NO	Hordaland	Lindås	Kvassnesstemma			60.545833	5.296111	WGS84			Johannessen, Lars Erik	2019-01-24				Larus canus canus Linnaeus, 1758	Animalia	Aves	Charadriiformes	Laridae	Larus	canus	canus		ICZN	Blood
urn:uuid:dd5628f0-9818-5a1f-861e-978b9910f348	urn:uuid:b6c620a8-5f4d-4f90-8de0-356392d87c64	PhysicalObject	2019-01-31T18:47:26	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:b6c620a8-5f4d-4f90-8de0-356392d87c64	urn:uuid:b6c620a8-5f4d-4f90-8de0-356392d87c64	NHMO-BI-100004/1-B		Helberg, Morten	Unknown		Blood	Existing		urn:uuid:dd5628f0-9818-5a1f-861e-978b9910f348	2012-07-14	Europe		Norway	NO	Hordaland	Lindås	Kvassnesstemma			60.545833	5.296111	WGS84			Johannessen, Lars Erik	2019-01-24				Larus canus canus Linnaeus, 1758	Animalia	Aves	Charadriiformes	Laridae	Larus	canus	canus		ICZN	Blood
urn:uuid:5ce7f671-8eba-5f90-aefa-d05df205d6b3	urn:uuid:b3262d7d-5191-4405-8764-408ad7f1ec27	PhysicalObject	2019-01-31T18:47:26	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:b3262d7d-5191-4405-8764-408ad7f1ec27	urn:uuid:b3262d7d-5191-4405-8764-408ad7f1ec27	NHMO-BI-100005/1-B		Helberg, Morten	Unknown		Blood	Existing		urn:uuid:5ce7f671-8eba-5f90-aefa-d05df205d6b3	2012-07-29	Europe		Norway	NO	Hordaland	Bergen	Solheimsvatnet			60.368889	5.346389	WGS84			Johannessen, Lars Erik	2019-01-24				Larus canus canus Linnaeus, 1758	Animalia	Aves	Charadriiformes	Laridae	Larus	canus	canus		ICZN	Blood
urn:uuid:73af912b-16d8-50e0-a960-bbb8b58d49f9	urn:uuid:69db3a3b-e2e1-45eb-99d7-e5f95487fea4	PhysicalObject	2019-01-31T18:47:26	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:69db3a3b-e2e1-45eb-99d7-e5f95487fea4	urn:uuid:69db3a3b-e2e1-45eb-99d7-e5f95487fea4	NHMO-BI-100006/1-B		Helberg, Morten	Unknown		Blood	Existing		urn:uuid:73af912b-16d8-50e0-a960-bbb8b58d49f9	2012-09-15	Europe		Norway	NO	Hordaland	Bergen	Tveitevannet			60.357222	5.356944	WGS84			Johannessen, Lars Erik	2019-01-24				Larus canus canus Linnaeus, 1758	Animalia	Aves	Charadriiformes	Laridae	Larus	canus	canus		ICZN	Blood
urn:uuid:580df46d-28f9-5f90-9cd4-b571204ccdf6	urn:uuid:acca796c-b593-4e38-9888-8f1da60ca951	PhysicalObject	2019-01-31T18:28:39	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:acca796c-b593-4e38-9888-8f1da60ca951	urn:uuid:acca796c-b593-4e38-9888-8f1da60ca951	NHMO-BI-10001/1-B	AJ183	Johnsen, Arild	Female		Blood	Existing		urn:uuid:580df46d-28f9-5f90-9cd4-b571204ccdf6	2006-06-30	Europe		Norway	NO	Oppland	Øystre Slidre	Øvre Heimdalen			61.416667	8.866667	WGS84	4000		Johnsen, Arild	2006-06-30				Luscinia svecica svecica (Linnaeus, 1758)	Animalia	Aves	Passeriformes	Muscicapidae	Luscinia	svecica	svecica		ICZN	Blood, gDNA
